2012-01-06,ADY*Netflix,8.99
2012-01-03,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2011-12-31,TARGET PURCHASE 2850788,27.32
2011-12-27,BKOFAMERICA ATM 11-12 #000009003 WITHDRWL SOUTH BEND INDIANA ID,30
2011-12-26,Uber BV help.uber.com,4.06
2011-12-27,Mesh on Mass 811202,11.46
2011-12-28,Brugge Brasserie 769838,14.87
2011-12-28,Uber BV help.uber.com,10.84
2011-12-29,Mama Carolla's Old Italian 672567,14.21
2011-12-31,WALMART,24.26
2012-01-01,Uber BV help.uber.com,5.09
2012-01-02,Recess 185748,15.85
2012-01-03,Yats 435909,31.42
2012-01-13,TARGET PURCHASE 2400538,26.36
2012-01-09,Twenty Tap 859244,31.3
2012-01-10,Goose the Market 617958,28.49
2012-01-11,Siam Square 245396,15.66
2012-01-11,Uber BV help.uber.com,8.82
2012-01-13,WALMART,11.32
2012-01-14,Uber BV help.uber.com,9.42
2012-01-15,Uber BV help.uber.com,19.59
2012-01-22,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,50
2012-01-19,Shapiro's Delicatessen 99910,33.22
2012-01-20,Uber BV help.uber.com,17.41
2012-01-21,Bluebeard 315685,15.75
2012-01-21,NORDSTROM ONLINE,10.66
2012-01-26,Siam Square 243922,18.84
2012-01-27,Uber BV help.uber.com,7.45
2012-01-28,Iaria's Italian Restaurant 653833,19.49
2012-01-28,Uber BV help.uber.com,17.91
2012-02-05,TARGET PURCHASE 1991097,13.62
2012-02-04,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,20
2012-01-30,CHEVRON,36.1
2012-01-31,Uber BV help.uber.com,19.99
2012-02-02,Bazbeaux 948239,21.37
2012-02-06,ADY*Netflix,8.99
2012-02-05,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2012-02-05,PAYPAL DES:INST XFER ID:85905 INDN:Sara Caplan CO ID:PAYPAL WEB,14.49
2012-02-05,TARGET PURCHASE 917892,20.45
2012-02-04,BKOFAMERICA ATM 12-01 #000009003 WITHDRWL SOUTH BEND INDIANA ID,40
2012-01-30,Yats 616683,24.34
2012-02-05,TARGET,25.34
2012-02-06,Uber BV help.uber.com,18.9
2012-02-07,Union 50 155802,33.22
2012-02-08,Taste Cafe & Marketplace 346453,25.03
2012-02-12,NORDSTROM ONLINE,16.0
2012-02-17,CHEVRON,37.79
2012-02-14,Uber BV help.uber.com,8.37
2012-02-16,Uber BV help.uber.com,8.37
2012-02-18,Iaria's Italian Restaurant 193264,33.24
2012-02-19,Uber BV help.uber.com,11.89
2012-02-20,WALMART,40.43
2012-02-22,St. Elmo Steak House 473147,22.86
2012-02-23,Uber BV help.uber.com,7.13
2012-02-26,Goose the Market 427766,30.0
2012-03-06,ADY*Netflix,8.99
2012-03-05,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2012-02-27,St. Elmo Steak House 17893,25.51
2012-02-28,Cafe Patachou 613656,33.98
2012-03-02,Mesh on Mass 875201,15.51
2012-03-03,The Tamale Place 763285,16.68
2012-03-07,Uber BV help.uber.com,21.4
2012-03-08,Union 50 515754,22.63
2012-03-10,Mug N' Bun 278441,23.7
2012-03-11,Uber BV help.uber.com,9.73
2012-03-13,Mama Carolla's Old Italian 354893,13.46
2012-03-13,Uber BV help.uber.com,20.89
2012-03-14,The Loft at Trader's Point Creamery 772920,16.65
2012-03-16,The Loft at Trader's Point Creamery 83702,8.36
2012-03-21,Shapiro's Delicatessen 256659,33.23
2012-03-23,The Tamale Place 808036,8.6
2012-03-24,Uber BV help.uber.com,13.12
2012-03-26,Shoefly Public House 721611,29.63
2012-03-30,Goose the Market 844675,11.82
2012-03-31,Uber BV help.uber.com,13.12
2012-04-06,ADY*Netflix,8.99
2012-04-09,FirstService Res DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,1275
2012-04-09,FirstService Res Late Fee DES:RESIDENT ID: 45118551 INDN:Sara Caplan CO ID:XXXXX39005 WEB,25
2012-03-26,Uber BV help.uber.com,5.81
2012-03-28,Scotty's Brewhouse 311713,20.46
2012-03-29,Siam Square 530173,12.55
2012-03-30,Sahm's Place 565124,13.75
2012-04-07,PAYPAL DES:INST XFER ID:34554 INDN:Sara Caplan CO ID:PAYPAL WEB,68.89
2012-04-07,TARGET PURCHASE 373061,17.29
2012-04-02,Delicia 597299,17.73
2012-04-03,Scotty's Brewhouse 386730,10.72
2012-04-05,St. Elmo Steak House 13346,10.09
2012-04-05,Uber BV help.uber.com,13.95
2012-04-07,Uber BV help.uber.com,13.8
2012-04-15,PAYPAL DES:INST XFER ID:66484 INDN:Sara Caplan CO ID:PAYPAL WEB,15.29
2012-04-09,Uber BV help.uber.com,21.05
2012-04-10,Mug N' Bun 49724,29.68
2012-04-11,AMAZON,31.7
2012-04-12,Twenty Tap 155504,15.26
2012-04-13,Delicia 559548,7.76
2012-04-13,Uber BV help.uber.com,14.06
2012-04-15,Bluebeard 203964,13.7
